Account,Token Account,Quantity,Percentage
Cw32Ny2xcYdpfJmvFd7h2pRhcbcjoJFq8KrrA8YLwZeh,851oVWxstWYDyHSmmBtsRbgYokS9RQfBsG5wiHvnSvBf,80200.00,0.01
49mvMufixEbUMzZEUVAnbQ8hLLuEWy789XfKUNTz7wCv,Con1RdA4s5KEEmzasSFGh58aBtPtFemLCDHy8RMa1but,79808.50,0.01
6W6DHJLxGeKDNuKX5hvF4Yj24f9W3VeyWiTqXEUz1fj2,36WWLhbNRVEhCqmMSb9Pv9aMUkhM32JDLzNw7n51yuuG,79719.08,0.01
AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,GDZKruoB8coUAvKC24WfsWr4LrVsAKGTDCrtQBjQjEno,78600.44,0.01
3sgaqvD5mrdvjVAR8pMRVKEDwW9Ud8LYZC8acz5zhdn5,83wSmGQSdBwynxQXZ8c7HViDnWe6XPChvZ9exGD9a9oU,78351.23,0.01
53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,Ffz4Lda4CNzan3xVQ2vWfQyry9tspXKa7WXevj62BLEP,76790.17,0.01
FjxgGwchRnwxaEcTTNJ8MHkoUqZDHwuEVHawMGASx441,C8S5Xme5Qc79VwBNobktiprfk8Q4TKupG6arpBewoJt4,73372.03,0.01
5UJaF92LxM4QGLT81pFXRZSkmCfvoxXXgcg1n8K7E4F7,54cAfJm3vDLyWQyB58zasu9LaeMhCd425kZjbxKGgsH9,73039.29,0.01
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,DW1UqpQnF5bpSA8dmjr6u13swMPpsXXgcFuRbM1YVSuH,71864.10,0.01
BbHG9GvPActFGogv3iNrpDAj4qpXr8t3jF16uGxXcKci,Cacq1o5gtcwAG8oVxdpDxg9hLLfMCUaWWGaheazVKj9S,69517.48,0.01
5oMWCZvAGacoDibqBFMm1HFEGaCZZkLawR8uuKYtUjao,CrHoBcoaoYcduHHNXSVvaPmizbbkcyTKGmpzXB1MyN2J,68696.06,0.01
7pLBJQNtRBQ1V2vvnQdTepVHh1CXEt7RxuJkwxemJ7v8,8asgPsioyrgsphj8zYMfHLNRfdwriA4TeH1wcMrrALWr,65809.77,0.01
G9RCBaYb8aBRxoe8QBC2ucGrVqjuZFysRhY8d56cnNT1,BBqkrmBqbr783YWGckGqT2Czngpe5uYEwaAqa4kDtWFZ,65730.56,0.01
Aj7DZzFjbLBeebmejY3E97xVRWjGj6DL71ujLU66aG4C,8uRj5LLspX1v6pfYJnzcKfabXt4qw1THfKo8mxxmmzMY,65491.57,0.01
BNRwx1CcnEYUWgX644Q9hgCo2qoCLVv1jW84U2kAnsCm,FM8HFoqm8g87bNuZh7hh6kg5gHxEsnuvtUibmYbg9bpq,65000.00,0.01
8BGXiTgZUNXNvyKngikDZ4TrXgMZYQSEDHiKv1zekJRy,CKyUyxJ3hRjE8DeKhkCPeMF6kAcfubtq59G8xX5FogmC,64847.89,0.01
GwtXsmP772pv2ctcyzvxMuR7pacTDCQywx9VwoirQNJa,6GiWdrBCRQ5CgfF5FJqrFUDDbwgndza3M3j5BSEzjkWH,63249.09,0.01
GQsPr4RJk9AZkkfWHud7v4MtotcxhaYzZHdsPCg9vNvW,3DZg4BbkBj8GKEXXXRtu6wUunpCAth6n8gZur9Dronvt,62445.05,0.01
73G3HHZ6jQwFVfEKJ3TXJQ4E7GJEXwtdb9KEwC9eX7jd,8sqstP6cqymVahPH6FZ12kJv2ex74RYKyJ3FZq9n4mwi,61828.16,0.01
8siy6Qrq5ZwrXXpvr2g5MqG9WRmNnegK3N4biMiqfvZA,7CQr65ht55vAUuzJgqHDpztQHFKdN3jQxdRy2XnzKhp6,61087.16,0.01
2kCm1RHGJjeCKL4SA3ZJCLyXqUD7nEJ7GMtVaP7c6jQ8,HcV3ak3mPdLkreStchKG1An4pWVADny1kZb1rANLLM9L,60403.26,0.01
8QCVZ7KL65pBhUxbvfwbyyg4ronxNAEXbDrGLYLrRNn5,5ZgqYL39UfXiXt4ocFhJLJjfLmNomxz2yBuhrcVReJsr,58276.75,0.01
6nD6d8gG17wakW6Wu5URktBZQp3uxp5orgPa576QXigJ,7rXsNqBkFoiNPJYxhZHu9EGUMsY4j4tA2DhefvNbzQzs,57239.01,0.01
5yHXQjdcax34Fvp2xxS1P8FvJDf8diBMcaBeqALBKeFC,2pmN1wRgUr1c6dQV5byBi53mxPE9iZ3brx2GVuqFyMY8,55500.09,0.01
8jKK3poedvbmQhDDX9zxSSGsEvKyWBEhbDoti4kppR9y,EjRqrsnbjFEkrVqyJihP3bu56wxejryi48vTwuwuYND2,55389.33,0.01
2gP5BJMLvNqj4DeAEBbvDqX9joxiUcVGfsw7eBxwkfga,HFBrA77YVT9JtyZ9ofbiaXefDCLep9YwwPC5du9Vc7HE,53357.49,0.01
GWHK7zuNiye4ou19BUDNSuyurbABizJcWUXHySxGEsAn,mfSUcrLyYH2n5BvWqC8YLNHvRf1vWrPwnfqy6CdBbav,52456.78,0.01
6E3abd9VTYDRexV6iAdciLavr2gJP1XFBcavX2Bo9ysb,4mDxctbX5f6PAiQ2QVfY395GANMkaCJNxWo197EdRfJV,51532.50,0.01
3Fy5oFavnWzTZ8YRBhZkyT3ioKtBSDVVxFkbSPefJHyF,DZ6bwHLN8V6JjrTxXX1MmK9pN3f1Sy9GLWemjJVdTDVh,51367.09,0.01
GYzTxa7CtkJ3gFshi8CusUaY65jX3xM4cEfwbKy2nztM,3uiCdCVdNZm7tzWyb4dDYKQGQMbhp6aKthpHmxXixUaP,50949.25,0.01
71HuFmuYAFEFUna2x2R4HJjrFNQHGuagW3gUMFToL9tk,Hp5K2KWRoF2LXDsYQaoE18VheQKPrsLQ9dzNELzPULZb,50936.42,0.01
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,g9zwPxviLqF5vj2P2QHBtpp46URH3o39K8wzQ1M5pJi,49328.23,0.00
4kfVaNEDQc3UYPVkT6UFw2zcd5xKDY2NM6ny9vZyJPWn,3RWFjznDPzw3BueiyUUNetn4zeZ45YcEZK7BqHZnnDgZ,48964.68,0.00
4GKGwskpNQDipsuYbigMzTc7v5mgaZfkVcBf5teMJKeW,F6jrFMZKnS5XDeK8ELxehJyE8wg7G3FSMieqYzR7cwBa,48740.77,0.00
DMSXWQEYrjgM2785GLPzSZoRscRRXwaFW2MDvUX5BdAw,2wURmcDixjEq92hHKC8qZTQLRr5r3vLsV7vWxQMSKNfm,48714.24,0.00
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,58UKRBLbtWWHT5uchrAnMBxajGLZzgWnV6196nR214vs,47838.14,0.00
F5NKj2Ks5Jo3NsTxsbuLZL9Lw6BgEbMtnNSYghrJLffM,HatZppwbQXaXT7JRVNS73gZneqcEuTd5dr4WLTMSzwvX,47729.84,0.00
7EtuAttpoVSEnuUsbf1mwRR18mDoE1LwQcTJGct9ZQ3B,H2cNpWcHteFQU55yD8bwwJPFAL9qrBeZFr5hvjGup95P,46120.00,0.00
DaswRZwyVHgqhacA3WvXdaSJFdfsjgKLtsm6kHoJ3DRU,9S7uFZQTfNfJfgP8PoNyWRr3aKWs34UGF6A4k5XyC1tG,45897.14,0.00
HN28gRo3vC6SRQ5eVG6Xa6YgHMcrx5EBScWTJ4G16nc7,FVAi8xEzYVb9HnkbWorEom3zoYCeCPW5rNndwK3HhJWy,44909.00,0.00
98i7i3aouRJ5Au4s2Ar5oWVtQByjhc76VUthKM5FNUNS,AfwVUgbkcGimKtpniXn38ecURu8cojTYmbytSjDTZiu8,44887.61,0.00
BA7UdvSVywRisn8YLMpg6emrNNk3N3TFqSrKJXmTBKdt,Hh7LWtW8ds2zjB3uU1o6Brdh3nDvgZn9Tez4m3NXoNju,43426.85,0.00
7T8E4dxMFEr7YkAYqfLTeWnA1dCJffShE9BZezab8ZYn,Ch28qH5q7b7wN7Dsc8yw4AgLc6LyoaoSgdSm2nKKTvE5,43237.21,0.00
7VKNU2B7qqLUUnxHa1YUG55zTW6KVgAmyime7SU2aDhi,EGUonTriPxLJ78s7PdVgYkL7dDyhyzyLEkfCft7nEWJk,42943.76,0.00
3yfxbP5FwLsdZSAkiyxpZ8JZYCqRFDgqxyhc46gJPNQK,62fd21LyE5W6ZF7ZZmzKrWvejrkYNVhADmq2qSb1toGB,41951.22,0.00
GoDTQpLAuf6968H7i8ZLE4dfQ2nsHKNs3R45qKzudkXM,MtCcfraWf4dVNr8FmySPjqyL3Wwe8BtDWBvSqbHWE91,40696.87,0.00
ztmwwQtivgDVzw55i5KFhfghrNmkVYDfC4CG9J6bTk1,6aWZc1R3TbY4zGM2a5j6WruioE5kTVsmNBwrUQkHwpZc,40427.61,0.00
4nLdY2bk2BpDLx5RnftWaRdc7R2n51ou6ZXuPYJKSzeH,GAjG61EKTphJvHLcQVcL9JwJJ9voFqLst3pHtEQMeZTk,40173.79,0.00
B4RH6e3izWEUWA3NVeAW8cjqLqm1rThLKWHGR91YEMv1,9DCCgCczvRitvw2m76Q2gq5FNgZ4FQEHJe6qRTonyREw,40005.02,0.00
3BHB2KmHA9pRttKfihP6ZbCd3ZhU7tHMASjJyuFfNceD,9ceawEi4NyB1EL6xxBJsGTa9HrpLjYmh4A7ra8Ug3khp,40000.00,0.00
5MhdpMJfzkgqp6xuLoFsQ6MnHn7yhoqCV31xw5Ca38Lt,CVhkz2Lpk4gL6zXCXbyG5DQbSuUqpkNMbffVU1L3Qxij,39450.00,0.00
J8FNbQnRGmgHaPrmUsjJ7sdM7gaJVbcvEfYGCmVs69bE,84rdw984JP7tGGbe9ogSq86eaXWn198EDCVaHHLETRDe,39168.83,0.00
4CTUHtiHrPHFT4Zc1qNScrposmM7xfupU7EVDWCR7PZw,8rpWRkvkhaY51zDG6cj6nc2HqxkuFNsAudnXn1yc5H4e,38944.14,0.00
FXjP4Lo3YKsVePoDo3eGVrqGekkKWrHeXJMVDbpGpcqG,BCd492tDG8Z21DHeu29wfUF9QX25jsSHXghidNEZJ3ER,38665.91,0.00
E5CwZwgVwqe9SJE9dhvtv6euGgmBq2vcPLxkWwwta7nb,BPdt8ntkr82yYfD6115quJjP1qs1sxVZRX7e4dRzSDh3,37565.92,0.00
BuE4MxBbU6jYaJvtPEFe7JvcouVonxwJQfyLk2sPYD5u,E6jGuJnnPWpYaQQ3xqdnjW8LUT5Tu4duQivonZLsbkex,36276.76,0.00
Hr7W7TcUqknG56j22MzVU6tA8qcTNAT2rEvjn6LKPfhS,5xt1aAbPLvGY4RTBCCCyP6njvf2As4Tk14P6KuV1gQ3v,35320.96,0.00
C3ZPSrx4HopgASjp6PdU8VN3DzdV67UUHYaRugK77wfM,En8wbbkkPL5uvai7yiSbtokVHQAVxxHFjV5TJUq42EL7,35031.54,0.00
4QXXp184iMKjL1ZTLrGtjMFvR2n2YhpUS1WypmzGaYB3,6qd2Zh7adLfMUUh2WieMeBtDWs6ZBcyLW88BjwGkXGze,34817.50,0.00
A5J4tTRHywDqW1pn691YSXV5UN6ZuMAcF2vZSAut8g1x,FyxHK1q6iov3o4kbC1BfYcVnRXnJ8DEEZcTUzGDSx9PR,34465.53,0.00
iDA7dE2EL6HNt6iXZ4DTBcBcXeVigfZF9JL6uaNr8Un,6neU7teh4CznqrrwgRUvD82Utp5qmNt7vb8QJ3XQR2rE,33732.24,0.00
4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,2cgdw4LhJ7MjfCsDkD81CM1ujNkjKAxnX7xr9DbkM8c8,33624.44,0.00
5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,Bh89YekUUgqrZ95afEiJo1u5L6V8DE74SbbApNxvU73w,32827.32,0.00
DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3,B6QUxUi2CSEd8Bdsy79zTYHbCFYoHXFjwvEKXQgazgzv,32768.61,0.00
TYMkYHTNxaonjjbbKqhZtQ3KDmWuCPKEfa4Pk7sWwfE,GX5GEVigiHF6YLoQGqQ6UXSWaDgeSb4g9jcZPzva2yZi,32548.00,0.00
8KS4XFaJoEErFrEJW6wAkuRMH77KbRE5vKCnheMFuDFk,64BZRsfZVuwvMMTJrqbAmainZPUsCC4RhyPTsN6VAobS,32085.71,0.00
CXjpTDPJ11SEUAJ9ta94GUCM41Quc8TQ3iDzhZoKXVfx,J4JJmABFU4rBTagU6ovKNUAdGdz1tTacKDsN4YwKGGsA,31999.00,0.00
GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,7WDAxtgFXxxnis9btVHaeNVXTcXcqBMBN8wiPW6LWXqp,31810.81,0.00
2SAcyPwv1YBWcyKXXsposawMnamxQs5F8vhrQ3RZ51mP,A6KwMU1Q5HxA3ty8j8i8N2YrkjU8x6uCih6tcBwbnqBq,31306.30,0.00
8ezggN9N1QM6a6jBgqmdRAGSMQZ25mDw3dyWWbRhNhhp,DVs1fMfZEw7kKh22HkTNLvMjRJCk732GHhjL6MLFDQka,31026.70,0.00
6brjeZNfSpqjWoo16z1YbywKguAruXZhNz9bJMVZE8pD,2u7LpWEipAf5Fe9cVcMyB48GuLK3tfw1xivWdhqjgo9d,30600.52,0.00
6o9mQ6HL2xC7Naht6rTg1XHpgk766dtTCU3Ze7vHZdoX,Cs9HQBLUCToNtap3MNpBKnERcdQSjxujkKHySDS9jX3o,30494.84,0.00
8JWVtS21nfQddQR5thDQ8bL5ykHKAGLcYSdR3uQqBvoG,Ca8UwjfrQDHRs2L7Eqz3uZ9MFduuWtnQ7p2H8W6i5zft,30185.86,0.00
vG1zZQHuYjoMsDP8XJmJrN2XqYkafPXzmLBRURmRSh5,FXLrhcKUZfAfez9Ajh2VHP7twRfTxSTSjfnrF66AsbMz,29632.92,0.00
2gtNPrajW5P4jpkXAoMY37ovRpoiBnS5tQERJSVVN5DL,8tXTyoPorv87euhNAjqFgh118MzPAaH5z9NV78S5QLf5,29565.39,0.00
693R6Rkk5Kvzm13ZyVqdqY7kdzwhorfPRm3Pe4wjXPDq,EUnDfg53LutgzWqYrFphMqw3twKvzJV5BBQpmZTzxbSL,29223.36,0.00
HQEqGAWiKcvVYaUsHweVTxDMtjnLZAsTTi4qEk6q1dCU,HRSXw9mgcdk9rRHshmuDSra8ddhAu52cewKyL2NheFZD,28615.96,0.00
2DtqsL3RQsY8akQMm3GmNLH6NQMerCDcV2ifByx5TEGg,8Bd72zdN741RxnYKLHA4ydVuq7aQdohuvF7Mz9yfUrz8,28220.44,0.00
8F8wb3aLEsPQjBzv8j9BGofNX69goxc33itPtGhZejg1,56UsEmxL2S6S1CRrE2JszgD2Go4yXumSzZsQcawvzxUC,27600.00,0.00
5WPmh7mHRkKqVZV2iVAnYzZY12YxadM187s8zBneJ7Ef,BigVeVicx2csTc7N7yNMvLCWbZEmRyUSQSGgLqiZSTam,27041.90,0.00
EQH5NETcmZcM3FNSz3TPCeDyKVntVQ8hbYAJ5u1NaNDJ,GRp7TxdyaTteYJ85s6aTdF4gwMvB5Fs7EabyZy2Jw5R5,27009.34,0.00
4f4ZX9Qf7Dwa651GxEhf7zDNdmSN5rTuzEX9Kn8EuiFR,Aem3hS88sBHX8fxDJaxvFyAH7QxkTNeZarBnZD8GT66U,26628.17,0.00
GwtrEuMezzM6eid1qgaUyqKn6Fbs5kY6J4HTEbwAY5Td,5uMeycqt55DDnxwgm6Rmowc9mEvTthHRt4GHZWhtMY64,26096.52,0.00
3Q3jXjYVqrVUEeCGihsEH4AvP38KzaTYJov4GRqoEXg4,GuZcKAcXNZEnQqP1pb9s5Bsqh6QYMeZ14xhkSHRh8DHF,25571.07,0.00
3AbG3ZA19fJKjTSTMTCz7j2bodPagXog4PwTBi8H7UA4,HrYQMvm9ZSmnuQL1QKBqW3rzghikpVFgfD1ZHYw22JLo,25565.73,0.00
8GwuXytSQu72oErRnEsygnrcpsyA1F6XdAM3VWsYGxxZ,9TMfgVcVFVWFuswgZRW8mF9352zJ16bcoCLK4kmKgtA5,25316.66,0.00
12E5Vcqo7zAoNTGUYrY6cRbWj1tKLsTg8FqvQwnnKLq2,HU9gWuDXsgQ3W52zDyXaHzCrkWsrrfCbMzg6gni4VW4p,25247.18,0.00
4ir7LsDrFHzj9nWphkp1RfcPgx6DMRpgL8hWNiTtTeVH,6nT6G7VZKN9chKMBQ9PH8o9fbeqB8gZLwr8PqsL3232g,25224.90,0.00
6XMrsTeFC8gYmVasKaBuVwU4fyAVPJLHd8jno82JBhS5,3q8ttDXQz37ZHpVEQhZqvuUDh2LkPBtbmsoRHxvgzRCB,25159.89,0.00
6dUaYX9Z6aQPY66BgD4yzu1saifGAZLrhQqF9BugJxJ1,7kr1M8ccGJ1Mq8GPzoXPebVXgCsAKHM1nsPWCokr87AC,25135.02,0.00
KGSub5WEBntZdRtQDCnWA4eczxZbRdJ3tuSWNkFeiMP,CniPgyjKrbEhsv93WtjiF3zcEaVPmGYuzVKqP4FU7mEw,24453.91,0.00
HbmZR2FqhcmTDZtoY94Txmx9ew6RGBAAWywh9vj1Zw9r,5i1GoJPCHCMKuoc6WkikHFfP281qa8YtW6mQbMYM1ANr,24262.02,0.00
EGwu3YL1sBAFAM6q93h8B1bRewsvGYWpQD1vRueXGkcH,FNbVNMfs97GHzveXhk1ejaXu8CryZRzQCPTJCB7Rdbpu,24232.61,0.00
5QUqj56wxfH7xD7pCaaoTykzNj2pUtLCvmR3u92xkZdV,7SyvkcpocYVXUdMYqmzQJnCxAhjYEaaBubfop5T5mT3W,24145.22,0.00
DoCdkDHbmbccnqhbkfDRNTaxVk1yxDcJtmotXHtaxWUh,GCHwovLaSqk5iZMfVjYfyAon3C251afv9Etg8Nvop7tG,24000.00,0.00
7J9naCkHHR9p6JPXq195iP8HYLt39wgp3DFsZvkYguJg,FrG9ukybQh43sz1os3TMzfhwxaHDSGPKp5sxM2qxeLkH,23895.15,0.00
2egbJxkMXZ3LQz457NysWNFB99VJFUt5CXf5niYk3y2C,6q7d8mwiStPYQsFBv8NC9YjtTK49zSW365sKEPQL9ocm,23475.20,0.00
CvyMM3drioM9fiZgupLQB8rBChtmZfdwUbpvvrf9TUyJ,DViX5upak2rcqYHC42vQkfN9H8CpHTYMPgwp7aEjpa69,23245.03,0.00
BXehozptu4SJ8AVqDLQC1xHeq2ZpbaHqsMvLZyhygT4V,6UThaSfLHPEN9wmH4egPXV8iG68smtGb1DF7YR6rWS3G,22853.82,0.00
GY3iemvo2d9D8yg9SXPNQfeDLZeoKqkeU3ZgLHacoKmG,BEMnC9tmjTurbG2BU124Cy3u8m8kdVMogsNhQSmdW8Hv,22846.00,0.00
j2s7TTdrGnEFocRmMtAhxoLcdX9NWjwnLsXdPX22BtY,6BUe6TdiByM66HuxqoER14xJETquL3Ljz1iEjTBdZgdk,22813.72,0.00
7XYW3UgGbNkoobLWMXTD6PYzfFPCVvyg6aHRfXZAbfvo,GN9KbJxqWjm2dtY8qxRP1Uf2aXnaXwtHBpujTYcDWhbA,22584.13,0.00
6aZNkfmZBCzwrrMYURfjXkT7qTPGAfJuPJsZTd4JQvR4,A7jX7SGKbmGzg8TewEdDyYodQBpHfLaZKayPSwxaWc1B,22500.05,0.00
A8nPhpCJqtqHdqUk35Uj9Hy2YsGXFkCZGuNwvkD3k7VC,82ex7Yderfb229MDeGD2H8jGqj8C4HDsJM1trAALirYB,22454.90,0.00
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Ey7iFHjmR5cPUENE1PFVUpUciSrVPq9aSX3gizfV7Mj4,22001.07,0.00
4tPuXU3r6MigSAn3xGD6i5h4c5CjeLwxmdSMqvNSNMjo,94CoooARreEaPa8hXxXZzu6VwdZQFkymkL1ivXgq3VmT,21800.77,0.00
DFUi8FWMgYsgd82Jgykk3tTqsKc3ncsWAEX8zzpA8VWb,7qpe2V9hjSfB7P5BZot2riLh3rkoUg9zzSXQGP7UXkio,21514.89,0.00
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,3TgS2iR9qLF3mZ4fzeqqLFP62y7rUofRWqpbYvyzq4T7,21108.05,0.00
H8UWVXhh7m2yPvGC2JAy2kPVgRTc7kcWG1xpHmHaB4Rf,25gjPXCTdCBNC6zJEcEkLguwcpaJoqFzXaUq4cfbrPw3,20800.23,0.00
9ZDX1UvJZjEPuXRbn8BApBQVZWo3uqUURDcsALbSeKbk,8ztjQVmCQM54avPtLXhdVNBh3X4CQc51jpVUMQ47PeTN,20503.36,0.00
HA9oNhHddEoPFSAEEYtGYZoXDkjky53TQ72jtpAnu81i,2Pmsen8jxnLik5QwtPttdrFdR4mp8uffmNYWJtzhEUDA,20466.96,0.00
7fKqYskHa27BwqnXRTEdDBhX9a1e3tG7LiKmxJSRwYvJ,EawJZT8TQbYPLgtvQ6r2HoM2255G4kwE3DWsMbxcAtHi,20440.89,0.00
3Ry9WNeccx5XWk6VL9HVPzadcijVziiSPjmNeE2KDs1U,8ZrTP8PxvMeM2bbeZU3y8MhGdbAAiNisbX4ZdKpXpX6u,20437.77,0.00
HjE6xhPgPFNTsynQyDDd95LJUQs3S9Yn4Bks1V5armc9,8Pk972L4W47X7ps1JBcEQUz7BojAbhxW4rKrnU2Hespx,20420.16,0.00
GPvQmgZmg92Qrgqb1E4bnhDm59XXP2NDP5CcyiMqNmk6,e146xjMUjQJ8GsYcpnJecF6GFT2ZP93XJYsfxzhtLeS,20400.51,0.00
6LtpoJ7ryHkd6jKe9x9ex73J4baYj9cqnHpVoF1RM6d3,GQmgH4q1nRpMoJeu8qPQLZPe6tPeHRecWA41YtCzagLx,20332.63,0.00
3V11R3pEGSt5XeRaoLDcCdkAB8zVSaKRCm8y3uKBgnsr,4aMgmS2LZoAsbAV4rvNHRFdGKHCiyYA2Vxwgb9aSqP9C,20319.22,0.00
B8iTF8UzKQgYCS3M77WZ9EFVkgHM9PKyZdr6D1Lr68m,EMTFedNm62uQwsJLoUbVoAqY9DzYAS5CRs5vsCsjAtQ,20112.73,0.00
Lq7jtdneSLNoCH2kJ4UUHgaWobZbr9V9WKvHcEZK6c4,2o56ESthzQAUCM5MkTQWfeiGEf3hrmrPL9iNKCUuYA7a,20100.00,0.00
EHwFn5nVroZv2nLTbPEF582cqdr5jjdtgwvtFFLY4fmR,G4RWQmpa11MBn7SYxCcKyXXnBjqsjf7cdBAzfRKNFS6J,20082.67,0.00
AeBwztwXScyNNuQCEdhS54wttRQrw3Nj1UtqddzB4C7b,4JdxzJDsPZpgX1X1d3Vq4cGFHw34dcG8jAgsWu1NrMBy,20008.56,0.00
77akVG74gciW8gbMzn33nzfz3PUtgBXfdD7zoA44BZZ9,HQFLouFUpc1G2z6bc2YQD3Dka1JW48UQkXsvoWMyAQf6,20000.00,0.00
CvKSYHm1x84wnJJJaUySQzhRWXM2yuneQ1uxem55mPhp,DVVQxXTYa59fYsWFKZyXvYDL8DU9m6w4LX8u8jxuxucS,19900.15,0.00
5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,33dtUtTUfuBjVJrpDz6QkR5uV4GZZ98dqykYmADCBfTh,19800.47,0.00
GaGgvs9donih8Nm3nHfBYs7DP797TEADRZFRcR2BCNMH,AFmgGTCNt4ZbQmKpbq115NiPW7Nu889wvT2Z9k4TbbXF,19785.28,0.00
2K39DsiUDTzPBrqgsjeGSNK1x15oy8QF3pgZmAXUH44f,FQVj6E3dAmftoJg6rK7qTeuKeWE54myEdA16C8JxagxV,19663.88,0.00
A9iq1jV7tYUs4ueTLyfyRk1V1nDt1iTmXcK1mVVNTokG,CaqSg59bjp32R3DCJcT7cFLKVBC2qSfVh5jjfWJozctw,19423.70,0.00
AKeP98eFqYuj9hcKhbFbbok793SkjAxcFWUZTCfW2DnG,5aHNesUAVzPimR1bERDbxqpFotrJnKk6uXhM6x71YC89,19417.33,0.00
28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU,9heFAhVBQtqkKZEbAY6tCD8UnJ1kUxzFHKmrjhHEjUEG,19271.52,0.00
ETeD8UpWUKq8MkXR6be41EwiZw1Cu9xZjpANZzsfrGhF,DzfW1gZvjFEcxdrQ5AUZZrgBuoX747ufVFwkzBSut1a6,19127.06,0.00
5xYNhZRW1rEofFon3X2JgaZtrnu5vo5xXD61jHof3p37,7LA1YqvuXQ7tR2wp26vJMd6jCRophg8ndv5NrMjCRhrT,19097.68,0.00
H8jiTdGCghpMvXcpcPRZvqctNinfCaYtsQt4ZDEbEzsE,DcGxcFRmMUDutjCsLUrt9hXfAAQZBeiCnikVsZksUWiq,19088.00,0.00
DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,Hz7ZcMQ6TY8grxnZKtqr6oy6FeXmLMg1XxwTVo839eA6,18816.64,0.00
CDhUgGEiUxx1aTbnoiSAKcmBhnGUFRQ6AMzuLQRD5VFZ,7qfYs986TMF62gN2BJtiFn5piRk5Z9UAe78txVeAfqvU,18801.55,0.00
5UDBM7fpkiDE3GLMkC3ikHnnzzYkoCCAgB1x3HXQZzb6,8sd2FBLXWD1zwugNEX9tTXXPK3pYbSXc8JNr4fgnSehD,18698.11,0.00
9QScSF5TssogYNUiNJJApXyd8WVbjKwiUXGKuNHv2cuY,AuCuYFnbphR6wHa8RE1E2gagujp6VA74dZEmJryMnrAi,18555.44,0.00
9YNXSZLWywHgKbcdM7nUigoBpqgchmV6Kunsdm1hBahZ,4yNtA8gDjmc7uoZbZGEojN4H3i9TCLdfPa3G8fawp3yS,18549.21,0.00
BtK7vQ7MzYiJQ5b83V1Uw42kWkr5tiKd7yk5rU2GhuDy,3QEGz3eh8fb8Yxx74jvJvEWD8GYuTN7xgEPDNXgdybde,18395.16,0.00
6ALiL8hGNJBypBaksyCE1kjM1wuGVpobLbxD2f9YurdB,6ALiL8hGNJBypBaksyCE1kjM1wuGVpobLbxD2f9YurdB,18350.95,0.00
D5Q7tMQuExjs8Gwr3MkWM5j57TT2Es9v1UhAPzxMr8pb,2hgxbX9tsTvCSyxtgtMTDes1JX2wt57wW9Lym1EKWunn,18196.40,0.00
4QhFmguxfAgEcEVn5JaW3XJ68xPGhrFDdu6DAuCSZ9Eh,5qQfbvtXbA7kiyD7x9YY5nVjFpEX34cZAhCBCz6ek3tK,18028.21,0.00
2QwUbEACJ3ppwfyH19QCSVvNrRzfuK5mNVNDsDMsZKMh,DwVgwUiPk8y8Zhd3yaPsphmcsRZtNhiVcphVRKQ8zmnD,17880.00,0.00
F9PdmqH8JbcKYRcfy19KBdF5FA7QSVVDmbqmWKwkhyV5,7NQQnJRzJ3vh9Zq7f7dgonYoUshNf5WMDTKaj6efVUcZ,17720.10,0.00
27RNtEw7SrMbW4mLVBHUPxTNM1zcCbMg43gziJLwi2Sc,GPjoW685aEHnKkdxd9JsmiA4Wqy5FVVTRr7PLAs65gjf,17605.96,0.00
7EjvK7idg2b4W8RbbmTgCze8AJQK1g6dCbCGX3CFfVnX,D59uNQCs9FT1PXmgXNzh4andGBTF9sr4azWqceDhn3fg,17532.37,0.00
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,5EkTFQQSKmkixzVZBBBNWuh7tBNZejEJ9NAw1h8EFS3R,17441.87,0.00
BxX8VefNvdTkwNpuAqPJcRtZZc9yJjXLPj7jC8DVbFfY,HGnLh1eipviJQByQQFY8tGuTDajaZQd2wSdEsJKoCHkD,17306.87,0.00
4KRS8BPCgDZHBTXkugCHuh2ZsZQhmAbdx6ASjMQYNdXd,FBvThSpMXCRtyMaxURQsNsu9MkjRsbUXnbikQ1wRt9qZ,17064.92,0.00
