Account,Token Account,Quantity,Percentage
2p63sfdNEKgQo39hQTqjcN5HURs9TWtvuxSs9hTePVxu,DjgAGgfuiWDthHx2EBKTEUPRU5PGjn77RPdQyduxQimu,761119.14,0.08
BeCxDH6warxU8bYTMwLmmsVs4mJ9794UCsrHqXLBAW7M,5o77P4EdJNSXdw7tt6YGVFPUioremtHYog2XLf8CaKZ5,745072.17,0.07
3AioVXJzq2P8FX3hDEa3k8nBE1WrfRDqbZTFQLwGGK4E,76tY6SpzQ8g9N2YmhAjCNq6NPcKCCNYBPCCA1h6V4vHB,558805.09,0.06
Cj22juEv1LjsHFmyu7ALaThwNeXMWPDJde8QayNNtBz3,2ZckRZWgzDhJYgDzBGq6Rabv5pJKHPxLRdJNw1bx1qq4,558805.09,0.06
DwfUHQSRYc6aHMRu1b3tQRTHdCC9iBDMP27m3tYnkQz5,GD8j8zLrjMwCy2ttWqyfyPzPEFuW6xJEwh27Yk57MuTQ,557390.39,0.06
4qchfp339j853WVeh1jbmBerEHKnzn7W6dNaH8BWN6rV,HtFNyZ1Qbz5xrXqjagdExwqJC1ndf9GMt733QQVeossb,555861.85,0.06
JqDc3BE4pVpUtcBfUMhy8RT97yuDRcjJ3Yt7q8Pwjsv,HyHAX1DtVaDijbWNXKTBC4RqRSMDRQirmNYsBEy5BRC3,555630.45,0.06
2yXxaSQzMFnqewM2jsjECvSWs6TXA9r5doJnPyTbs3xo,G72S5uRGxG1kU2icS74tobiKGRtw8TdocriaJHUpnngj,553795.77,0.06
7KxBq2D862Ab7E1daJGQasNnqqgwXbqrnMNmwYmg5rWY,HSQwrFBRC2c75RY2g5hgcwx5AzYphXCAjRtCVETmGGRM,539162.40,0.05
22KV28a9dz7U8SBRv8tbwW7burFAzHQFWTj9Qed3QcUP,8BAm9sHSp5rWiRN5yZZ7dF9yzHBgY76RWx2J6PpLpNau,537801.54,0.05
7jzQekjqQT2ZYe7TAidjCzD1AJjJMneHKy1mVf1hChh7,BW4JJJ99PJtBYqCUpXgY8P7iyFufPDS3tpE7esoTBPRd,520244.89,0.05
38xCLm9kSExfGU1GdyVuX4vop7SZns9kU2mQyTmmMdUP,B2Jtk6JD9GguvqdBo4ahL9JN71JLXG5HjUesMRDnyWJU,507588.26,0.05
5cvQpjBpobuLEKf2myqpwrkcX4u1ct1XuEqmgcubAV7f,EPuHAy638seAMQjqoMpb3iC4N2YdAroYbWSWHQKkKmzN,480000.00,0.05
Daz9KBjMETjBP8j6vZM3uWbbguDPZYwHg3cPj7ULUFmR,HUU57Xfho51ZQk3ik7y75ttRsueRFchy5SPKnqAbHFY6,476491.05,0.05
69P4RHz5Q41tY9nvu6H5C7dpys6n1YFPj7BDEZxBhYLQ,TGUbMGwxb8kk9nArLPXxMeAsjQZS1jpx5A16MPi2frU,425764.37,0.04
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj,89nWdCwA9SPCh25Jh3ZYEXfJh3fWJ7SeHPwrwfVCkqHR,420002.13,0.04
HWXjy1GhA5hw9rmm5HXqm6WMpFax2cA2ynVkvyqb9fj9,8qPuBBX6wRLjyBKetQTT7vYhNvfrr4fCGS9AnLGFH84o,415135.99,0.04
5MGR7t23LPMie1fDYGqpQMWrnSiNbbbppnYaqBkYYu5g,B6ieSuPSXEhPzKLxsSyBYy3xX3szfUBGmZWy9ggsqkeY,413214.96,0.04
BxXqrxdGT8faSUmaQmvBa7jLnmUECzgi84zZEYKGySBV,6yeZWu8cLKXzX1eDcbT8YNDF15QJfN4ScKKGMr9KzJdi,412190.72,0.04
7WeEapHCWNsCPDNevXJ9rKCjT76E3r9LHEuS5VhdQ3mV,5hMtiM7LMefF6a2KaGkj535sJDdNAiAfG4H342F1EtbL,412190.72,0.04
GvgG5GFdnmHNXqfp6FjKcHUAjEyabF55y3LDWB1cPyDJ,6182P2KrJGn8vuheNRpK3zbefd8t7BmEz5D9sj9m83ta,410955.68,0.04
EfsTbGfaSU2WxicjbEPANTZTNJ6sTvPFLWPBGUXGxsYF,CkeFUW8nTaywqX58VNG9RuJCdEuXs29ssQmsy1mQ4BNq,410694.14,0.04
CrUYR1L9WNFTaXZAcdQgeqCWH9YCsis9LxN2dpLM7sXU,FgFjGydrJK5LpzmEBo74NhrBP1LrSkjmmZc2F1MwGwdu,407426.80,0.04
gHfRj99nyk94JEAxSNTHTgiHxeHTBGnosHZXoag7YYX,H5GeLjoyW5SY2oiBoEiTpP2UsKQH2e7F3HkiQsZv9p7e,405332.29,0.04
6nZNk6fxzGtBy5K3Gj6RVGqfkf4GNhUFSztxW2uQ5dYA,8a9fVNXwgBKDvyp1wUtPKEihv3RPwuAX9KZHzsUcGJWh,397499.00,0.04
2iPTUwoadhpAbMq8ekLv2CwMXxnJGot4eUktSJDZbVhz,6zSs41GopYBdT51mim5yFnZao4GWFmi3DUSeYpUMy4BZ,390979.10,0.04
4TYF8iW8bXET9C8aFgJoiUHhNtpBg5bqRsxSptCExvz7,2UD2CEEVKXerm2VKWuExLXTwoFauYm3cq33V8ZWMBFfx,389727.16,0.04
Ern9fU5v2NGQ28qmwsHTd2B5hgGwFzse6AmAz7vuYc8f,EjREWqCTSmUsSF8nCw7coK7Fgvq3YzruWw53PNtWDWaj,389513.46,0.04
BwsWUrUmhwKSd6RatTfTcgA8eyVmgmGSaYr4mq5GaWMy,6tyVb4UDum1PCeCWgawqdjYcQta9Rc7SPpjVVbF5FPrs,370386.99,0.04
ADqZYsW9SVZ6bCSGDqfBiPkfaZuQKGg79MA357otX8Ud,6JABqEL2DWQkAR74ewHzD5iYHpfdZP7hvrn94ui6ZJ2U,370060.35,0.04
44sTwhnN1kP4fYGXt96Cxtypxu8aN2iRicnbn65Eogvi,GirTwgBhFjo58kagj1EnbmdLeG4tvAJLH5f8djTS9Kvk,331237.09,0.03
9D8xSHWqF9NJWqCtn3rNxYEox63aCbWxYzTMfMur7Cc9,92n6zwpgZrvqrJM2JrXTAhBFN55Mew9McuSAZ6DtzAGC,317874.42,0.03
LQ7eoT4H6qTKVLHrMWyk1rR7ucjYXTkcrx5jepo2KBy,4qV6YcyLH8TiJFPFLKJVoqSZ73PQbNaphcZfinbFJcBE,296882.68,0.03
CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,3DcMYw6coBijbSTjXnNUANhaPQ4X1xaUNDrkJugf9mhL,285608.91,0.03
H7EZf5JutCREcfxXdwQcds359423T4FQxFSs8WPPEGiV,DmcKyaBnza376KxRVHZ1A9KsieZCZGrvSXesExCeCuMG,269423.14,0.03
